date,brand,satisfied,dissatisfied,unknown
16-Apr-23,Resolve,26,54,20
02-Apr-23,Newspoll,35,48,21
16-Mar-23,Resolve,32,44,24
04-Mar-23,Newspoll,37,48,15
18-Feb-23,Resolve,29,45,26
02-Feb-23,Newspoll,36,46,18
22-Jan-23,Resolve,26,46,26
04-Dec-22,Resolve,28,43,29
03-Dec-22,Newspoll,36,45,19
29-Nov-22,Essential,28,33,32
30-Oct-22,Resolve,29,41,30
30-Oct-22,Newspoll,39,46,15
16-Oct-22,Freshwater,33,34,33
09-Oct-22,Resolve,31,41,28
18-Sep-22,Resolve,28,40,32
03-Sep-22,Newspoll,35,43,22
21-Aug-22,Resolve,30,38,32
30-Jul-22,Newspoll,37,41,22
