date,brand,satisfied,dissatisfied,unknown
16-Apr-22,Resolve,44,47,9
9-Apr-22,Newspoll,42,54,4
3-Apr-22,Resolve,39,53,8
3-Apr-22,Newspoll,42,54,4
2-Apr-22,Ipsos,33,48,19
12-Mar-22,Newspoll,41,55,4
26-Feb-22,Newspoll,43,55,2
20-Feb-22,Essential,44,49,7
12-Feb-22,Newspoll,40,56,4
30-Jan-22,Newspoll,39,58,3
23-Jan-22,Essential,46,46,8
4-Dec-21,Newspoll,44,52,4
13-Nov-21,Newspoll,44,52,4
23-Oct-21,Newspoll,46,50,4
2-Oct-21,Newspoll,48,49,3
18-Sep-21,Newspoll,46,50,4
28-Aug-21,Newspoll,49,47,4
7-Aug-21,Newspoll,47,49,4
17-Jul-21,Resolve,45,46,9
17-Jul-21,Newspoll,51,45,4
6-Jul-21,Essential,51,40,9
26-Jun-21,Newspoll,55,41,4
13-Jun-21,Resolve,48,41,11
8-Jun-21,Essential,57,36,8
5-Jun-21,Newspoll,54,43,3
15-May-21,Newspoll,58,38,4
24-Apr-21,Newspoll,59,37,4
12-Apr-21,Essential,54,37,9
27-Mar-21,Newspoll,55,40,5
30-Mar-21,Essential,57,35,8
13-Mar-21,Newspoll,62,34,4
20-Feb-21,Newspoll,64,32,4
30-Jan-21,Newspoll,63,33,4
Dec-20,Essential,62,28,10
28-Nov-20,Newspoll,66,30,4
6-Nov-20,Newspoll,64,31,5
10-Oct-20,Newspoll,65,31,4
19-Sep-20,Newspoll,65,31,4
29-Aug-20,Newspoll,64,32,4
9-Aug-20,Essential,66,23,11
8-Aug-20,Newspoll,68,29,3
18-Jul-20,Newspoll,68,27,5
12-Jul-20,Essential,63,27,10
27-Jun-20,Newspoll,68,27,5
6-Jun-20,Newspoll,66,29,5
2-Jun-20,Essential,65,26,9
16-May-20,Newspoll,66,30,4
5-May-20,Essential,64,27,9
25-Apr-20,Newspoll,68,28,4
5-Apr-20,Essential,59,31,10
3-Apr-20,Newspoll,61,35,4
14-Mar-20,Newspoll,41,53,6
11-Mar-20,Essential,41,49,10
22-Feb-20,Newspoll,38,58,4
11-Feb-20,Essential,39,52,9
1-Feb-20,Newspoll,37,59,4
11-Jan-20,Essential,40,52,8
11-Jan-20,Newspoll,37,59,4
8-Dec-19,Essential,45,43,12
8-Dec-19,Newspoll,45,48,7
23-Nov-19,Newspoll,43,52,5
12-Nov-19,Essential,45,41,14
10-Nov-19,Newspoll,46,43,11
20-Oct-19,Newspoll,47,45,8
15-Oct-19,Essential,47,38,15
29-Sep-19,Newspoll,47,43,10
17-Sep-19,Essential,49,36,15
7-Sep-19,Newspoll,49,39,12
22-Aug-19,Essential,48,37,15
18-Aug-19,Newspoll,48,42,10
28-Jul-19,Newspoll,51,36,13
21-Jul-19,Essential,48,34,18
23-Jun-19,Essential,48,36,16
