Date,last_date,Firm,sample_size,pv_lnp,pv_alp,pv_grn,pv_onp,pv_uap,pv_oth,tpp_lnp,tpp_alp
20–23 Apr 2022,23 Apr 2022,Ipsos,2302,34.6,37,13,4.3,3.3,8,45,55
14–17 Apr 2022,17 Apr 2022,Newspoll,1510,35,36,12,4,4,9,47,53
11–17 Apr 2022,17 Apr 2022,Morgan,1382,35.5,35,14,4.5,1.5,9.5,45,55
11–16 Apr 2022,16 Apr 2022,Resolve,1404,35,34,11,4,4,13,,
4–10 Apr 2022,10 Apr 2022,Morgan,1384,32.5,36,12.5,5,1.5,12.5,43,57
6–9 Apr 2022,9 Apr 2022,Newspoll,1506,36,37,10,3,4,10,47,53
31 Mar–3 Apr 2022,3 Apr 2022,Resolve,1681,34,38,11,2,3,12,,
28 Mar–3 Apr 2022,3 Apr 2022,Morgan,1367,33,39.5,11,3.5,1,12,43,57
31 Mar–3 Apr 2022,3 Apr 2022,Newspoll,1531,36,38,10,3,3,10,46,54
30 Mar–2 Apr 2022,2 Apr 2022,Ipsos,2563,34.1,38.5,11,,,15.4,45,55
21–27 Mar 2022,27 Mar 2022,Morgan,1404,33,35.5,12.5,3.5,1,14.5,44.5,55.5
14–20 Mar 2022,20 Mar 2022,Morgan,1418,31,37.5,12,3,1,15.5,42,58
3–13 Mar 2022,13 Mar 2022,Morgan,1947,33.5,37,11.5,3,1,14,44,56
9–12 Mar 2022,12 Mar 2022,Newspoll,1520,35,41,8,3,3,10,45,55
24 Feb–3 Mar 2022,3 Mar 2022,Morgan,1141,34,37.5,11.5,3.5,1,12.5,43.5,56.5
23–26 Feb 2022,26 Feb 2022,Newspoll,1525,35,41,9,3,4,8,45,55
14–23 Feb 2022,23 Feb 2022,Morgan,2261,32.5,37.5,12.5,3.5,1.5,12.5,43.5,56.5
15–20 Feb 2022,20 Feb 2022,Resolve,1604,33,35,10,3,4,15,,
31 Jan–13 Feb 2022,13 Feb 2022,Morgan,2796,33,38.5,11.5,4,1.5,11.5,43,57
9–12 Feb 2022,12 Feb 2022,Newspoll,1526,34,41,8,3,,14,45,55
17–30 Jan 2022,30 Jan 2022,Morgan,2783,33,37.5,11.5,3.5,2,12.5,43.5,56.5
27–30 Jan 2022,30 Jan 2022,Newspoll,1523,34,41,11,3,,11,44,56
4–16 Jan 2022,16 Jan 2022,Morgan,2791,34.5,37,12,3,0.5,13,44,56
11–15 Jan 2022,15 Jan 2022,Resolve,1607,34,35,11,3,,17,,
11–19 Dec 2021,19 Dec 2021,Morgan,,34.5,37,11.5,4,,13,44.5,55.5
27 Nov–5 Dec 2021,5 Dec 2021,Morgan,2805,34.5,36,12.5,3.5,,13.5,43.5,56.5
