Date,last_date,Firm,sample_size,pv_lnp,pv_alp,pv_grn,pv_onp,pv_uap,pv_oth,tpp_alp,tpp_lnp
28 Aug – 1 Sep 2023,1 Sep 2023,Newspoll,1200,37,35,13,7,,8,53,47
9–13 Aug 2023,13 Aug 2023,Resolve,1603,33,37,11,5,2,12,56,44
12–15 Jul 2023,15 Jul 2023,Resolve,1610,30,39,11,6,1,11,59,41
12–15 Jul 2023,15 Jul 2023,Newspoll,1570,34,36,12,7,,11,55,45
16–24 Jun 2023,24 Jun 2023,Newspoll,2303,35,38,11,6,,10,54,46
6–11 Jun 2023,11 Jun 2023,Resolve,1606,30,40,12,6,2,10,60,40
31 May – 3 Jun 2023,3 Jun 2023,Newspoll,1549,34,38,12,6,,10,55,45
15–17 May 2023,17 May 2023,Freshwater,1005,37,34,12,,,17,52,48
10–14 May 2023,14 May 2023,Resolve,1609,28,42,12,6,1,11,61.5,38.5
19–22 Apr 2023,22 Apr 2023,Newspoll,1514,33,38,11,7,
12–16 Apr 2023,16 Apr 2023,Resolve,1609,28,42,12,6,1,11,61.5,38.5
29 Mar – 2 Apr 2023,2 Apr 2023,Newspoll,1500,33,38,10,8,,11,55,45
12–16 Mar 2023,16 Mar 2023,Resolve,1600,30,39,13,5,,13,60,40
27 Feb – 5 Mar 2023,5 Mar 2023,Morgan,,33.5,38,11.5,,,17,54.5,45.5
1–4 Mar 2023,4 Mar 2023,Newspoll,1530,35,37,10,7,,11,54,46
20–26 Feb 2023,26 Feb 2023,Morgan,,34.5,37,10,7,,15,56.5,43.5
13–19 Feb 2023,19 Feb 2023,Morgan,,33,37,13,,,17,58.5,41.5
15–18 Feb 2023,18 Feb 2023,Resolve,1604,31,40,10,5,1,11,57.9,42.1
1–2 Feb 2023,2 Feb 2023,Newspoll,1512,34,38,11,6,1,10,55,45
23–29 Jan 2023,29 Jan 2023,Morgan,,33.5,37.5,11.5,,,17.5,57,43
17–22 Jan 2023,22 Jan 2023,Resolve,1606,29,42,11,6,2,11,60,40
9–11 Dec 2022,11 Dec 2022,Freshwater,1209,37,37,12,4,,10,54,46
30 Nov – 4 Dec 2022,4 Dec 2022,Resolve,1611,30,42,11,4,2,8,60,40
30 Nov – 3 Dec 2022,3 Dec 2022,Newspoll,1508,35,39,11,6,1,9,55,45
26–30 Oct 2022,30 Oct 2022,Resolve,1611,32,39,13,4,1,11,57.4,42.6
27–30 Oct 2022,30 Oct 2022,Newspoll,1500,35,38,11,6,1,9,55,45
5–9 Oct 2022,9 Oct 2022,Resolve,1604,30,39,12,5,3,11,58.3,41.7
14–18 Sep 2022,18 Sep 2022,Resolve,1607,32,39,10,6,2,11,57,43
31 Aug – 3 Sep 2022,3 Sep 2022,Newspoll,1505,31,37,13.5,7,2,10,57,43
17–21 Aug 2022,21 Aug 2022,Resolve,2011,28,42,12,5,2,11,61.3,38.7
27–30 Jul 2022,30 Jul 2022,Newspoll,1508,33,37,12,6,2,10,56,44
13–19 Jun 2022,19 Jun 2022,Morgan,1401,37,36,11,4,0.5,11.5,53,47
