Date,last_date,Firm,sample_size,pv_alp,pv_lnp,pv_grn,pv_onp,pv_uap,pv_oth,tpp_alp,tpp_lnp
9–13 Sep 2025,13 Sep 2025,Resolve,1800,35,27,11,12,9,6,55,45
8–11 Sep 2025,11 Sep 2025,Newspoll,1283,36,27,13,10,,14,58,42
19 Aug – 8 Sep 2025,8 Sep 2025,Redbridge,5326,35,30,11,11,,13,53.5,46.5
28 Jul – 24 Aug 2025,24 Aug 2025,Morgan,5001,34,30,12,9,,15,56.5,43.5
11–15 Aug 2025,15 Aug 2025,Resolve,1800,37,29,12,9,8,6,59,41
11–14 Aug 2025,14 Aug 2025,Newspoll,1283,36,30,12,9,,13,56,44
18–30 Jul 2025,30 Jul 2025,Wolf & Smith,5000,36,30,,,,,57,43
30 Jun – 27 Jul 2025,27 Jul 2025,Morgan,5159,36.5,31,12,7,,13.5,57,43
13–18 Jul 2025,18 Jul 2025,Resolve,2311,35,29,12,8,8,8,56,44
14–17 Jul 2025,17 Jul 2025,Newspoll,1264,36,29,12,8,,15,57,43
5–6 Jul 2025,6 Jul 2025,DemosAU,1199,36,26,14,9,,15,59,41
27 Jun – 1 Jul 2025,1 Jul 2025,Spectre,1001,35.9,31,12.8,7.9,,12.3,56.5,43.5
Late Jun 2025,30 Jun 2025,Redbridge,4036,37,31,12.8,7.9,,12,55.5,44.5
23–29 Jun 2025,29 Jun 2025,Morgan,1522,36.5,30.5,12,8.5,,12.5,57.5,42.5
2–22 Jun 2025,22 Jun 2025,Morgan,3957,37.5,31,12,6,,13.5,58,42
5 May – 1 Jun 2025,1 Jun 2025,Morgan,5128,37,31,11.5,6,,14.5,58.5,41.5
