date,brand,morrison,albanese,unknown
9-Apr-22,Newspoll,44,39,17
3-Apr-22,Resolve,36,37,15
3-Apr-22,Newspoll,43,42,15
2-Apr-22,Ipsos,37,38,25
12-Mar-22,Newspoll,42,42,16
26-Feb-22,Newspoll,42,40,18
20-Feb-22,Essential,40,35,25
12-Feb-22,Newspoll,43,38,19
30-Jan-22,Newspoll,43,41,16
23-Jan-22,Essential,45,35,23
4-Dec-21,Newspoll,45,36,19
13-Nov-21,Newspoll,46,38,16
23-Oct-21,Newspoll,48,34,18
2-Oct-21,Newspoll,47,34,19
18-Sep-21,Newspoll,47,35,18
28-Aug-21,Newspoll,50,34,16
7-Aug-21,Newspoll,49,36,15
17-Jul-21,Resolve,45,24,31
17-Jul-21,Newspoll,51,33,16
6-Jul-21,Essential,46,28,26
26-Jun-21,Newspoll,53,33,14
13-Jun-21,Resolve,46,23,31
8-Jun-21,Essential,48,28,24
5-Jun-21,Newspoll,53,32,15
16-May-21,Resolve,48,25,27
15-May-21,Newspoll,55,30,15
24-Apr-21,Newspoll,56,30,14
16-Apr-21,Resolve,47,25,28
12-Apr-21,Essential,47,28,25
27-Mar-21,Newspoll,52,32,16
30-Mar-21,Essential,52,26,22
13-Mar-21,Newspoll,56,30,14
20-Feb-21,Newspoll,61,26,13
30-Jan-21,Newspoll,57,29,14
14-Dec-20,Essential,50,24,26
28-Nov-20,Newspoll,60,28,12
6-Nov-20,Newspoll,58,29,13
10-Oct-20,Newspoll,57,28,15
19-Sep-20,Newspoll,59,27,14
29-Aug-20,Newspoll,58,29,13
9-Aug-20,Essential,52,22,26
8-Aug-20,Newspoll,60,25,15
18-Jul-20,Newspoll,59,26,15
12-Jul-20,Essential,50,27,23
27-Jun-20,Newspoll,58,26,16
6-Jun-20,Newspoll,56,26,18
2-Jun-20,Essential,53,23,24
16-May-20,Newspoll,56,29,15
5-May-20,Essential,50,25,25
25-Apr-20,Newspoll,56,28,16
5-Apr-20,Essential,46,27,27
3-Apr-20,Newspoll,53,29,18
14-Mar-20,Newspoll,42,38,20
11-Mar-20,Essential,40,35,25
22-Feb-20,Newspoll,40,41,19
11-Feb-20,Essential,36,36,28
1-Feb-20,Newspoll,38,43,19
11-Jan-20,Essential,36,39,25
11-Jan-20,Newspoll,39,43,18
8-Dec-19,Newspoll,48,34,18
23-Nov-19,Newspoll,46,35,19
12-Nov-19,Essential,44,28,29
10-Nov-19,Newspoll,46,32,22
20-Oct-19,Newspoll,47,32,21
15-Oct-19,Essential,43,28,29
29-Sep-19,Newspoll,50,31,19
17-Sep-19,Essential,46,25,29
7-Sep-19,Newspoll,48,28,24
1-Sep-19,YouGov,46,23,31
22-Aug-19,Essential,44,28,28
18-Aug-19,Newspoll,48,30,22
28-Jul-19,Newspoll,48,31,21
21-Jul-19,Essential,44,26,30
23-Jun-19,Essential,43,25,32
